nom,prix,adresse,image
Boeufs,750 000 CFA,"Tambacounda, Sénégal",background-image:url(https://images.coinafrique.com/thumb_1544433_uploaded_image1_1580089804.86.png)
Bœuf,600 000 CFA,"Keur Massar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_1606230_uploaded_image1_1581008311.59.png)
Chat siamois,350 000 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_1825906_uploaded_image2_1584739800.55.png)
Dindon rouge,30 000 CFA,"Mermoz-Sacré-Cœur, Dakar, Sénégal",""
Chat Siamois,Prix sur demande,"Fann, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_1899735_uploaded_image1_1586139854.78.png)
Perruches,Prix sur demande,"Fann, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_1934309_uploaded_image1_1586712626.03.png)
Chaton Persan,Prix sur demande,"Fann, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_1935403_uploaded_image1_1586726495.69.png)
Vaches,Prix sur demande,"Diourbel, Sénégal",background-image:url(https://images.coinafrique.com/thumb_1935629_uploaded_image1_1586731094.02.png)
Bœufs,Prix sur demande,"Diourbel, Sénégal",background-image:url(https://images.coinafrique.com/thumb_1954085_uploaded_image1_1587026162.65.jpeg)
Chaton,Prix sur demande,"Fann, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_1962491_uploaded_image1_1587134135.76.jpeg)
Boeuf,475 CFA,"Dakar Plateau, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_1998573_uploaded_image1_1587685670.89.jpeg)
Chaton persan chinchilla,Prix sur demande,"Fann, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2025374_uploaded_image1_1588119661.jpg)
Chaton persan blanc,Prix sur demande,"Fann, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2052355_uploaded_image1_1588568181.jpg)
Chèvre Race Boer,650 000 CFA,"Patte d'oie, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2061898_uploaded_image1_1588694077.jpg)
Boeuf,Prix sur demande,"Sicap Liberté, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2088141_uploaded_image1_1589099089.jpg)
Boeuf,Prix sur demande,"Fann, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2101700_uploaded_image1_1589308300.jpg)
Bœuf élevage,750 000 CFA,"Guediawaye, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2147334_uploaded_image1_1590007941.jpg)
Boeufs,Prix sur demande,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2161624_uploaded_image1_1590236359.jpg)
Poussins brahman et cochin,Prix sur demande,"Keur Massar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2230369_uploaded_image1_1591316836.jpg)
Boeufs,600 000 CFA,"Bambey, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2239779_uploaded_image1_1591466346.jpg)
Chaton york chocolat,150 000 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2240976_uploaded_image1_1591487576.jpg)
Taureau Nélore,Prix sur demande,"Guediawaye, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2251055_uploaded_image1_1591656431.jpg)
Oies,1 000 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2275120_uploaded_image1_1591990153.jpg)
Vache,Prix sur demande,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2276153_uploaded_image1_1592008517.jpg)
Oies,130 000 CFA,"Medina, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2281845_uploaded_image1_1592124037.jpg)
Perruches,Prix sur demande,"Point E, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2296024_uploaded_image1_1592332889.jpg)
Kittens / chatons,90 000 CFA,"Yoff, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2319268_uploaded_image1_1592689460.jpg)
Dinde,20 000 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2351112_uploaded_image1_1593181120.jpg)
Chat blanc turc,150 000 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",""
Couples Paons,250 000 CFA,"Keur Massar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2394305_uploaded_image2_1593898972.jpeg)
Souris blanc,Prix sur demande,"Hann Bel-Air, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2407511_uploaded_image1_1594131854.jpg)
Dindes,Prix sur demande,"Mbour, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2421638_uploaded_image1_1594369039.jpg)
Géniteur hollandais Holstein,1 200 000 CFA,"Mboro, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2430101_uploaded_image1_1594560513.jpg)
Vaches hollandaises,Prix sur demande,"Saint Louis, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2434087_uploaded_image1_1594647765.jpg)
Oies,80 000 CFA,"Diourbel, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2550824_uploaded_image1_1597673774.jpg)
Oiseau Maknol,Prix sur demande,"Kaffrine, Sénégal",""
Oie,100 000 CFA,"Mbour, Sénégal",""
Chatons,Prix sur demande,"Gorée, Dakar, Sénégal",""
Paon bleu,225 000 CFA,"Dakar, Sénégal",""
Bouc chèvre,100 000 CFA,"Diamniadio, Sénégal",""
Chèvre Bouc de race,200 000 CFA,"Louga, Sénégal",""
Vaches laitières,2 000 000 CFA,"Mbour, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2687649_uploaded_image1_1602441772.jpg)
Bœufs,350 000 CFA,"Louga, Sénégal",""
Bœufs,350 000 CFA,"Louga, Sénégal",""
Bœufs,250 000 CFA,"Louga, Sénégal",""
Âne Arabe,850 000 CFA,"Kébémer, Sénégal",""
Olpliitone 20 jours,15 000 CFA,"Dakar, Sénégal",""
Canard,35 000 CFA,"Mamelles, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2703622_uploaded_image1_1603049550.jpg)
Vache,300 000 CFA,"Louga, Sénégal",""
Dinde d'amérique,Prix sur demande,"Guediawaye, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2735977_uploaded_image1_1604436594.jpg)
Chaton Angora Turc,100 000 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2826620_uploaded_image1_1607777038.jpg)
Vache,550 000 CFA,"Bambey, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2846588_uploaded_image1_1608636321.jpg)
Chaton angora,130 000 CFA,"Fann, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2851191_uploaded_image1_1608834265.jpg)
Veau,250 000 CFA,"HLM, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2856538_uploaded_image1_1609162542.jpg)
Chatons,Prix sur demande,"Grand Dakar, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2860327_uploaded_image1_1609342553.jpg)
Canard Colvert,50 000 CFA,"Thies, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2876451_uploaded_image1_1610052488.jpg)
Bouc race laitière,Prix sur demande,"Saly, Sénégal",""
Chaton noir blanc,Prix sur demande,"Mamelles, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2886750_uploaded_image1_1610486302.jpg)
Dinde rouge,70 000 CFA,"Louga, Sénégal",""
Perruches - inséparables,12 500 CFA,"Parcelle Assainies, Dakar, Sénégal",""
Jument arabe,1 500 000 CFA,"Kébémer, Sénégal",""
Perroquet Sénégal avec cage,35 000 CFA,"Ngor, Dakar, Sénégal",""
Couple oie de toulouse adulte,85 000 CFA,"Mbour, Sénégal",""
Chaton Angora turque,160 000 CFA,"Grand Dakar, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_2966724_uploaded_image1_1614082274.jpg)
Bœuf,Prix sur demande,"Dakar, Sénégal",""
Porc,2 500 CFA,"Dakar, Sénégal",""
Laor noir,35 000 CFA,"Mbour, Sénégal",""
Bœuf,425 000 CFA,"Guediawaye, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3012014_uploaded_image1_1616250290.jpg)
Cheval,800 000 CFA,"Dakar, Sénégal",""
Oie adulte,80 000 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3025291_uploaded_image1_1616933629.jpg)
Oisillons,25 000 CFA,"Dakar, Sénégal",""
Taureau géniteur laitier,2 000 000 CFA,"Sicap Liberté, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3039728_uploaded_image1_1617557251.jpg)
Cheval,650 000 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3053064_uploaded_image1_1618156860.jpg)
Chaton,Prix sur demande,"Almadies, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3054622_uploaded_image1_1618231466.jpg)
Taureau - géniteur laitier,2 000 000 CFA,"Sicap Liberté, Dakar, Sénégal",""
Couple perruche arc en ciel,40 000 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3092218_uploaded_image1_1619966133.jpg)
Trio dindes d’amérique,65 000 CFA,"Mbao, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3092550_uploaded_image1_1619979240.jpg)
Vache,300 000 CFA,"HLM, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3095614_uploaded_image1_1620093462.jpg)
Couple perruches ondulées,100 000 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3116528_uploaded_image1_1621091686.jpg)
Oiseaux exotiques,Prix sur demande,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3119376_uploaded_image1_1621259652.jpg)
Couple colvert,30 000 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3127244_uploaded_image1_1621622446.jpg)
Oie géant,85 000 CFA,"Mbour, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3133835_uploaded_image1_1621994387.jpg)
Boeuf,800 000 CFA,"Bambey, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3140204_uploaded_image1_1622308324.jpg)
Poisson vivant,Prix sur demande,"Yoff, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3140939_uploaded_image1_1622373784.jpg)
Rat,Prix sur demande,"Almadies, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3156125_uploaded_image1_1622977662.jpg)
Paonneau,Prix sur demande,"Mbao, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3164991_uploaded_image1_1623339895.jpg)
Dinde,Prix sur demande,"Touba, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3165522_uploaded_image1_1623360382.jpg)
Couple dinde,Prix sur demande,"Touba, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3169645_uploaded_image2_1623581040.jpeg)
Cailles,Prix sur demande,"Touba, Sénégal",""
Cheval,450 000 CFA,"Pikine, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3169679_uploaded_image1_1623583685.jpg)
Oies,60 000 CFA,"Dakar, Sénégal",""
Oies,60 000 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3172011_uploaded_image1_1623695650.jpg)
Perruches ondulées,20 000 CFA,"Point E, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3215371_uploaded_image1_1625676061.jpg)
Chatons 2 et 3 mois,Prix sur demande,"Grand Dakar, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3222114_uploaded_image1_1626003610.jpg)
Bœufs,Prix sur demande,"Dieuppeul-Derklé, Dakar, Sénégal",""
Perruche ondulée,15 000 CFA,"Point E, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3243586_uploaded_image1_1627157324.jpg)
Bœufs,740 000 CFA,"Dieuppeul-Derklé, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3253864_uploaded_image1_1627751756.jpg)
Chaton,Prix sur demande,"Mermoz-Sacré Coeur, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3254310_uploaded_image1_1627784670.jpg)
Poisson aquarium,12 000 CFA,"Dakar Plateau, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3256827_uploaded_image1_1627902901.jpg)
Taureau,740 000 CFA,"Dieuppeul-Derklé, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3263210_uploaded_image1_1628122860.jpg)
Taureau,740 000 CFA,"Dieuppeul-Derklé, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3269989_uploaded_image1_1628451897.jpg)
Taureau,450 000 CFA,"Parcelle Assainies, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3271377_uploaded_image1_1628524523.jpg)
Oies adultes,130 000 CFA,"Guediawaye, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3273490_uploaded_image1_1628621055.jpg)
Boeuf,650 000 CFA,"Grand Dakar, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3282945_uploaded_image1_1629127993.jpg)
Vache,600 000 CFA,"Niaga, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3287170_uploaded_image1_1629317800.jpg)
Vache,600 000 CFA,"Niaga, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3287171_uploaded_image1_1629317948.jpg)
Chèvre mâle,Prix sur demande,"Mermoz-Sacré Coeur, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3315646_uploaded_image1_1630745395.jpg)
Oie gardien,90 000 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3316810_uploaded_image1_1630785291.jpg)
Oie guinéen,100 000 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3316816_uploaded_image1_1630785391.jpg)
Veaux,Prix sur demande,"Dieuppeul-Derklé, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3318063_uploaded_image1_1630865928.jpg)
Caille,2 500 CFA,"Parcelle Assainies, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3319937_uploaded_image1_1630948254.jpg)
Cailleteaux,400 CFA,"Parcelle Assainies, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3319946_uploaded_image1_1630948417.jpg)
Perruche,24 000 CFA,"Hann Bel-Air, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3321530_uploaded_image1_1631021949.jpg)
Bœuf,1 200 000 CFA,"Guediawaye, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3330908_uploaded_image1_1631459213.jpg)
Veaux,250 000 CFA,"Dieuppeul-Derklé, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3335012_uploaded_image1_1631654129.jpg)
Perruches,Prix sur demande,"Guediawaye, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3336754_uploaded_image1_1631736919.jpg)
Chaton,40 000 CFA,"Almadies, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3341213_uploaded_image1_1631968364.jpg)
Carpe Koï,100 000 CFA,"Dakar Plateau, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3345713_uploaded_image1_1632222841.jpg)
Géniteur Holstein,2 200 000 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3348819_uploaded_image1_1632352628.jpg)
Taureaux Holstein,2 500 000 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3348822_uploaded_image1_1632352988.jpg)
Veaux,250 000 CFA,"Dieuppeul-Derklé, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3350491_uploaded_image1_1632436028.jpg)
Autruchon,300 000 CFA,"Guediawaye, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3357168_uploaded_image1_1632871377.jpg)
Caille,2 000 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3360468_uploaded_image1_1633037043.jpg)
Couple hermine,20 000 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3369362_uploaded_image1_1633438173.jpg)
Bœuf,500 000 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3369906_uploaded_image1_1633454163.jpg)
Cailles,1 500 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",""
Paon bleu adulte,300 000 CFA,"Keur Massar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3372722_uploaded_image1_1633568000.jpg)
Trio de paon bleu,450 000 CFA,"Mbao, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3389732_uploaded_image1_1634436997.jpg)
Perruches,Prix sur demande,"Guediawaye, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3395087_uploaded_image3_1634734337.jpeg)
Cailles,2 000 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",""
Oies de toulouse,450 000 CFA,"Mbour, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3413662_uploaded_image1_1635765247.jpg)
Paire d'oie,100 000 CFA,"Thies, Sénégal",""
Canards,Prix sur demande,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3422543_uploaded_image1_1636113502.jpg)
Couple dinde rouge,90 000 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3425196_uploaded_image1_1636231334.jpg)
Bœufs,Prix sur demande,"Louga, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3448056_uploaded_image1_1637499860.jpg)
Chaton siamois,Prix sur demande,"Grand Dakar, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3450631_uploaded_image1_1637664547.jpg)
Dindes,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",""
Bœuf,900 000 CFA,"Bambey, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3492877_uploaded_image1_1640096405.jpg)
Oies de toulouse,20 000 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3496368_uploaded_image2_1640341893.jpeg)
Paon,350 000 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3500261_uploaded_image1_1640699224.jpg)
Hamster,15 000 CFA,"Mbao, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3502571_uploaded_image1_1640864798.jpg)
Bœufs,300 000 CFA,"Dieuppeul-Derklé, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3509381_uploaded_image1_1641354659.jpg)
Chat persan chinchilla,Prix sur demande,"Fann-Point E-Amitié, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3515163_uploaded_image1_1641642618.jpg)
Cheval,Prix sur demande,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3515231_uploaded_image1_1641645085.jpg)
Cochon dinde,45 000 CFA,"Thies, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3520065_uploaded_image1_1641924846.jpg)
Cochon dinde,45 000 CFA,"Thies, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3520078_uploaded_image1_1641925243.jpg)
Cochon dinde,45 000 CFA,"Thies, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3520084_uploaded_image1_1641925340.jpg)
Bouc Espagnol,150 000 CFA,"Louga, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3523752_uploaded_image1_1642113362.jpg)
Hamsters,15 000 CFA,"Mbao, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3525591_uploaded_image1_1642246209.jpg)
Jeune cheval,Prix sur demande,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3526170_uploaded_image1_1642274663.jpg)
Bœufs,900 000 CFA,"Bambey, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3544114_uploaded_image1_1643467299.jpg)
Cheval,500 000 CFA,"Saint Louis, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3569117_uploaded_image1_1644951974.jpg)
Poussins  d’oies,35 000 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3569402_uploaded_image1_1644969388.jpg)
Dinde mâle,20 000 CFA,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3575899_uploaded_image1_1645394898.jpg)
Poussin caille,500 CFA,"Parcelle Assainies, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3576048_uploaded_image1_1645409801.jpg)
Caille,8 000 CFA,"Kaolack, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3607957_uploaded_image1_1647266236.jpg)
Chatons,400 000 CFA,"Fann, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3613416_uploaded_image1_1647551529.jpg)
Taurillon laitier,1 000 000 CFA,"Sicap Liberté, Dakar, Sénégal",""
Cochons,15 000 CFA,"Mbour, Sénégal",""
Hamster,15 000 CFA,"Mbao, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3615764_uploaded_image1_1647715657.jpg)
Chaton Angora,130 000 CFA,"Fann, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3634435_uploaded_image1_1648913898.jpg)
Boeuf,Prix sur demande,"Niaga, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3645462_uploaded_image1_1649458078.jpg)
Boeuf,Prix sur demande,"Niaga, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3645463_uploaded_image1_1649458129.jpg)
Oie géant,450 000 CFA,"Mbour, Sénégal",""
Boeufs,900 000 CFA,"Niaga, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3651241_uploaded_image1_1649808275.jpg)
Chaton siamois,375 000 CFA,"Fann, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3671821_uploaded_image1_1651072649.jpg)
Perroquet grand Haras,Prix sur demande,"Yoff, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3672216_uploaded_image2_1651097217.jpeg)
Caille,2 000 CFA,"Sicap foire, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3679001_uploaded_image1_1651592167.jpg)
Chaton Angora,160 000 CFA,"Fann, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3681874_uploaded_image1_1651750026.jpg)
Paire colverts de Rouen,15 000 CFA,"Mboro, Sénégal",""
Hamster,15 000 CFA,"Mbao, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3689324_uploaded_image1_1652181532.jpg)
Boeuf,Prix sur demande,"Niaga, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3691179_uploaded_image1_1652274956.jpg)
Perruches ondulées,12 000 CFA,"Guediawaye, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3693176_uploaded_image1_1652374886.jpg)
Oie,65 000 CFA,"Niaga, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3719072_uploaded_image1_1654007070.jpg)
Vache,Prix sur demande,"Niaga, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3734952_uploaded_image1_1654795966.jpg)
Couple cochons d'inde,25 000 CFA,"Sacré-Coeur, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3738425_uploaded_image1_1655026461.jpg)
Sacs de foin - Ngogne,5 000 CFA,"Saint Louis, Sénégal",""
Canard,Prix sur demande,"Diamniadio, Sénégal",""
Paire Oie,130 000 CFA,"Guediawaye, Dakar, Sénégal",""
Oiseaux exotiques,Prix sur demande,"Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3773129_uploaded_image1_1657027947.jpg)
Veaux,200 000 CFA,"Diamniadio, Sénégal",""
Couple Hamster,45 000 CFA,"Dakar, Sénégal",""
Hamster,15 000 CFA,"Sacré-Coeur, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3780966_uploaded_image1_1657566627.jpg)
Veau,300 000 CFA,"Biscuiterie, Dakar, Sénégal",background-image:url(https://images.coinafrique.com/thumb_3784229_uploaded_image1_1657796861.jpg)
